BHK,type,ownership,bathroom,balcony,city,location,Rate_per_sqft,bedroom,total_area,Price,status,transaction,facing
4,Flat,Freehold,5,3,Delhi,Vasant Vihar,21250,4,4000,85000000,Ready to Move,Resale,North - East
4,Flat,Freehold,4,3,Gurgaon,Sushant Lok-I,9815,4,2699.949058,26500000,Ready to Move,New Property,North - West
3,Flat,Freehold,3,2,Gurgaon,DLF City Phase 2,15245,3,1935.060676,29500000,Ready to Move,New Property,North
3,Flat,Freehold,2,1,Delhi,Rohini Sector 24,10083,3,1200.039671,12100000,Ready to Move,New Property,North - East
3,Flat,Leasehold,3,1,Delhi,Rohini Sector 8,31250,3,800,25000000,Ready to Move,New Property,East
3,Flat,Freehold,3,4,Noida,CRC Joyous,8063,3,1575.096118,12700000,Poss. by Dec '23,New Property,North
3,Flat,Freehold,3,3,Gurgaon,Godrej Nature Plus,8671,3,1556.913851,13500000,Poss. by Sep '23,New Property,South
4,Flat,Freehold,4,4,Gurgaon,Luxury Builder Floors,12963,4,2699.992286,35000000,Ready to Move,New Property,North
5,Flat,Freehold,6,6,Gurgaon,Experion Windchants,10276,5,8514.986376,87500000,Ready to Move,Resale,West
4,Flat,Freehold,5,2,Gurgaon,DLF City Plot Phase 1,15250,4,3600,54900000,Ready to Move,New Property,North - East
4,Flat,Freehold,4,2,Gurgaon,Uppal Southend,6633,4,3000.150761,19900000,Ready to Move,New Property,North
4,Flat,Freehold,3,3,Gurgaon,Pioneer Presidia,16486,4,4337.013223,71500000,Ready to Move,Resale,East
4,Flat,Freehold,4,5,Gurgaon,Vipul World,6889,4,4499.927421,31000000,Ready to Move,New Property,North
5,Flat,Freehold,6,2,Gurgaon,Emaar MGF Marbella,18405,5,6519.9674,120000000,Ready to Move,Resale,North - East
4,Flat,Freehold,4,2,Gurgaon,Luxury Floors,12727,4,4517.953956,57500000,Ready to Move,New Property,North - West
4,Flat,Freehold,4,4,Gurgaon,DLF City Phase 2,14416,4,2844.062153,41000000,Ready to Move,Resale,North - East
4,Flat,Leasehold,4,5,Gurgaon,Uppal Southend,6500,4,3000,19500000,Ready to Move,New Property,West
4,Flat,Freehold,5,2,Delhi,Defence Colony,33093,4,2492.974345,82500000,Poss. by Dec '23,New Property,North
5,Flat,Freehold,5,2,Noida,Nirala Aspire Phase 4,6808,5,3158.049354,21500000,Poss. by Jun '24,New Property,East
4,Flat,Freehold,4,3,Gurgaon,Bestech Altura,8957,4,2657.139667,23800000,Ready to Move,New Property,East
4,Flat,Freehold,4,NA,Delhi,Hauz Khas,31371,4,1750.023907,54900000,Poss. by Jan '27,New Property,North - East
3,Flat,Freehold,3,2,Gurgaon,Ashiana Amarah,7297,3,1850.075373,13500000,Ready to Move,New Property,West
10,Flat,Freehold,10,2,Gurgaon,Suncity Township,42735,10,585.000585,25000000,Ready to Move,Resale,North - East
4,Flat,Freehold,5,2,Gurgaon,South City 1,11971,4,3500.125303,41900000,Ready to Move,New Property,South
4,Flat,Freehold,4,2,Gurgaon,Uppal Southend,11818,4,2200.033847,26000000,Ready to Move,New Property,North - East
3,Flat,Freehold,3,3,Gurgaon,Sushant Lok 3,11176,3,1700.071582,19000000,Ready to Move,New Property,East
4,Flat,Freehold,4,4,Gurgaon,Luxurious Builder Floor,10833,4,2400.073848,26000000,Ready to Move,New Property,
3,Flat,,3,NA,Gurgaon,Uppal Southend,9762,3,2099.979512,20500000,Ready to Move,New Property,
3,Flat,,3,NA,Gurgaon,Bestech Altura,8536,3,2014.995314,17200000,,Resale,
3,Flat,Leasehold,4,6,Noida,Antriksh Grand View,8222,3,2250.060812,18500000,Ready to Move,New Property,North - East
3,Flat,Freehold,3,1,Delhi,Kishangarh,6538,3,1300.091771,8500000,Ready to Move,New Property,East
3,Flat,Freehold,4,3,Gurgaon,Vatika Sovereign Park,10500,3,2771.428571,29100000,Poss. by Apr '24,New Property,South - East
3,Flat,Freehold,3,2,Gurgaon,Sector 45 Block A Gurgaon,15556,3,1349.96143,21000000,Ready to Move,Resale,East
3,Flat,Leasehold,2,5,Noida,Paramount Emotions,5580,3,1379.928315,7700000,Ready to Move,Resale,North - East
3,Flat,Freehold,3,3,Gurgaon,DLF City Phase 1,21429,3,2799.944001,60000000,Ready to Move,Resale,North - West
3,Flat,Freehold,3,3,Noida,Capital Athena,8218,3,1289.851545,10600000,Ready to Move,New Property,North - East
2,Flat,Leasehold,2,2,Gurgaon,Smart World Orchard,14500,2,1144.827586,16600000,Poss. by Jan '24,New Property,North - East
3,Flat,Freehold,3,3,Gurgaon,Emaar Emerald Estate,11667,3,1499.957144,17500000,Ready to Move,Resale,North - East
4,Flat,Freehold,3,3,Gurgaon,RWA Sector 57,7407,4,2700.148508,20000000,Ready to Move,Resale,North - East
4,Flat,Freehold,6,4,Gurgaon,Corona Optus,6331,4,2764.176275,17500000,Ready to Move,Resale,East
5,Flat,Freehold,3,3,Gurgaon,Sector 28 Gurgaon,7178,5,5711.897464,41000000,Ready to Move,Resale,East
3,Flat,Freehold,3,5,Ghaziabad,Siddhartha Vihar,3928,3,3742.362525,14700000,Poss. by Mar '26,New Property,East
2,Flat,Freehold,2,2,Faridabad,RPS Savana,6029,2,829.3249295,5000000,Ready to Move,Resale,East
5,Flat,Freehold,4,4,Ghaziabad,Rajendra Nagar,10331,5,1984.31904,20500000,Ready to Move,New Property,North - East
4,Flat,Freehold,4,2,Gurgaon,All Punjabi Welfare Association,17584,4,1507.051865,26500000,Ready to Move,New Property,North - East
3,Flat,Freehold,4,3,Gurgaon,M3M Golf Estate,7035,3,8670.931059,61000000,Ready to Move,Resale,East
3,Flat,Freehold,2,3,Gurgaon,Ramprastha Primera,12513,3,966.9943259,12100000,Ready to Move,New Property,East
3,Flat,Freehold,3,5,Delhi,Kesarwani Apartment,15400,3,1584.415584,24400000,Ready to Move,Resale,North - West
4,Flat,Freehold,4,2,Delhi,Guru Apartment,10511,4,3662.829417,38500000,Ready to Move,Resale,East
3,Flat,Freehold,3,1,Gurgaon,MRG Crown,5753,3,3041.891187,17500000,Poss. by Feb '26,New Property,East
1,Flat,Freehold,2,2,Delhi,Uttam Nagar,5759,1,364.64664,2100000,Ready to Move,New Property,North
3,Flat,Freehold,2,3,Ghaziabad,Indirapuram,15312,3,545.3239289,8350000,Ready to Move,New Property,East
3,Flat,Freehold,3,1,Delhi,DLF Capital Greens 1 and 2,5000,3,4900,24500000,Ready to Move,Resale,North - East
2,Flat,Freehold,2,1,Ghaziabad,Shakti Khand,3765,2,1195.219124,4500000,Ready to Move,New Property,East
2,Flat,Freehold,2,2,Delhi,Prestige Apartments,10529,2,303.9224998,3200000,Ready to Move,New Property,East
3,Flat,Freehold,3,4,Gurgaon,Shapoorji Pallonji Joyville Gurugram,14856,3,1312.600969,19500000,Ready to Move,Resale,East
3,Flat,Freehold,4,1,Gurgaon,M3M Merlin,5128,3,6825.273011,35000000,Ready to Move,Resale,East
5,Flat,,6,NA,Gurgaon,Tulip Monsella,NA,5,NA,92500000,Poss. by Jun '27,Resale,
3,Flat,Freehold,3,2,Faridabad,Aashirwad Homes,7000,3,1500,10500000,Ready to Move,New Property,North
3,Flat,Freehold,3,4,Gurgaon,M3M Woodshire,6691,3,1942.908384,13000000,Ready to Move,Resale,East
4,Flat,Freehold,4,2,Gurgaon,RWA Sushant lok,8488,4,3239.868049,27500000,Ready to Move,New Property,North - East
4,Flat,Freehold,3,3,Gurgaon,Sushant Lok 1 Block C,9773,4,5627.749923,55000000,Ready to Move,New Property,North - East
4,Flat,Freehold,3,2,Delhi,Himachal Dauladhar,9737,4,2208.072302,21500000,Ready to Move,Resale,East
3,Flat,Freehold,3,2,Gurgaon,Sector 63A,25926,3,713.5693898,18500000,Ready to Move,New Property,North
4,Flat,Freehold,4,2,Delhi,Executive Floor,10706,4,6538.389688,70000000,Ready to Move,New Property,North - East
3,Flat,Freehold,2,2,Delhi,IES Officers Apartment,10900,3,1669.724771,18200000,Ready to Move,Resale,North - East
